name,instagram_handle,email,website,phone,clinic_name,city,state
Carrick Institute,,info@carrickinstitute.com,https://www.carrickinstitute.com,,Functional Neurology Training,Cape Canaveral,FL
NeurdSolutions (Dr. Cedrick Noel),,info@neurdsolutions.com,https://www.neurdsolutions.com,,Gravity Reset Method Seminars,,
Functional Neurology Seminars,,info@functionalneurologyseminars.com,https://functionalneurologyseminars.com,,Online FN Modules,,
Clinical Neurology Seminars,,info@clinicalneurologyseminars.com,https://clinicalneurologyseminars.com,,Clinical Neurology Training,,
Brain & Neuroplasticity Seminars,,info@brain-neuroplasticity.com,https://brain-neuroplasticity.com,,Neuroplasticity CE Seminars,,
ICPA,,info@icpa4kids.com,https://icpa4kids.com,,Pediatric Chiropractic Training,,
PX Docs / The Pediatric Experience,,info@pxdocs.com,https://pxdocs.com,,Pediatric Chiropractic Education,Crystal Lake,IL
Peak Potential Institute,,info@peak-potential-institute.com,https://peak-potential-institute.mykajabi.com,,SOT Pediatric Certification,,
Fetterman Events,,info@fettermanevents.com,https://www.fettermanevents.com,,National CE Seminars,,
Chiro CE Destinations,,info@chirocedestinations.com,https://www.chirocedestinations.com,,CE Vacation Seminars,,
Chiro CE Cruise,,info@chirocecruise.com,https://www.chirocecruise.com,,CE Cruise Seminars,,
Chiro & Beyond Seminars,,info@chiroandbeyond.net,https://chiroandbeyond.net,,Post-Graduate CE,,
CCEDseminars,,info@ccedseminars.com,https://ccedseminars.com,,Online Chiropractic CE,,
ChiroCredit,,info@chirocredit.com,https://www.chirocredit.com,,Neurology Diplomate Courses,,
Thompson Technique Academy,,info@thompsontechniqueacademy.com,https://www.thompsontechniqueacademy.com,,Thompson Technique Certification,,
Thompson Technique Foundation,,info@thompsontechnique.org,https://thompsontechnique.org,,Thompson Technique Training,,
Gonstead Clinical Studies Society,,info@gonstead.com,https://gonstead.com,,Gonstead Technique Seminars,,
Chiropractic BioPhysics (CBP),,cbpseminars@idealspine.com,https://idealspine.com,208-939-0301,CBP Technique Seminars,Caldwell,ID
NUCCA,,info@nucca.org,https://nucca.org,,Upper Cervical Training,,
Blair Chiropractic Society,,info@blairtechnique.com,https://www.blairtechnique.com,,Blair Upper Cervical Training,,
SORSI,,info@sorsi.com,https://sorsi.com,,SOT Technique Training,,
ACNB,,info@acnb.org,https://acnb.org,,Chiropractic Neurology Board,,
INSiGHT Academy (CLA),,info@insightclaacademy.com,https://www.insightclaacademy.com,,Neurological Scanning Training,,
American Chiropractic Rehabilitation Board,,info@acrb.org,https://acrb.org,,Rehab & Sports CE Seminars,,
Myopain Seminars,,info@myopainseminars.com,https://myopainseminars.com,,Dry Needling CE Courses,,
AcuPractice Seminars,,info@acupracticeseminars.com,https://acupracticeseminars.com,,Acupuncture CE Training,,
ChiroNeedle,,info@chironeedle.com,https://chironeedle.com,,Dry Needling Training,,
Eastern Medicine Institute,,info@easternmedicineinstitute.com,https://easternmedicineinstitute.com,,Dry Needling & Acupuncture CE,Dallas,TX
Integrative Dry Needling,,info@integrativedryneedling.com,https://integrativedryneedling.com,,Dry Needling PACE Courses,,
Breakthrough Coaching,,info@mybreakthrough.com,https://mybreakthrough.com,,Practice Management Seminars,,
The Remarkable Practice,,info@theremarkablepractice.com,https://theremarkablepractice.com,,Practice Growth Seminars,,
AMC Family,,info@amcfamily.com,https://www.amcfamily.com,,Chiropractic Training Seminars,,
Level Up Mentoring,,info@levelupmentoring.rocks,https://www.levelupmentoring.rocks,,Chiropractic Training,,
Forward Thinking Chiro,,info@forwardthinkingchiro.com,https://www.forwardthinkingchiro.com,,Chiropractic Events Platform,,
TPI (Titleist Performance Institute),,info@mytpi.com,https://www.mytpi.com,,Golf Rehab & Sports CE,,
Logan University CE,,ce@logan.edu,https://www.logan.edu/continuing-education-chiropractors/seminars/,,University CE Symposium,,
Life West CE,,ce@lifewest.edu,https://ce.lifewest.edu/live,,University CE Seminars,Hayward,CA
Palmer College CE,,ce@palmer.edu,https://www.palmer.edu,,University CE Programs,Davenport,IA
ChiroUp Events,,info@chiroup.com,https://chiroup.com/events,,Evidence-Based CE Events,,
CNI Institute,,info@cninstitute.org,https://www.cninstitute.org,,Neurology On-Demand Training,,
