name,instagram_handle,email,website,phone,clinic_name,city,state
INSiGHT neuroTECH (CLA),,info@insightcla.com,https://insightcla.com,,Neurological Scanning Technology,,
Activator Methods International,,info@activator.com,https://activator.com,602-224-0220,Chiropractic Adjusting Instruments,Phoenix,AZ
Neuromechanical Innovations,,info@neuromechanical.com,https://neuromechanical.com,,Impulse Adjusting Instruments,,
IMPAC Inc,,info@impacinc.net,https://www.impacinc.net,,ArthroStim Adjusting Instruments,,OR
PulStar / Sense Technology,,info@pulstar.us,https://pulstar.us,,Computerized Chiropractic Analysis,,
Foot Levelers,,service@footlevelers.com,https://www.footlevelers.com,800-553-4860,Custom Orthotics & Foot Scanners,Roanoke,VA
ChiroHealthUSA,,info@chirohealthusa.com,https://www.chirohealthusa.com,888-719-9990,Patient Savings & Compliance,,
ChiroTouch,,sales@chirotouch.com,https://www.chirotouch.com,,Chiropractic EHR Software,,
ChiroFusion,,info@chirofusionsoftware.com,https://www.chirofusionsoftware.com,,Cloud-Based Chiropractic EHR,,
ECLIPSE Practice Management,,info@eclipsepracticemanagementsoftware.com,http://eclipsepracticemanagementsoftware.com,,Chiropractic EHR & Billing,,
ChiroSpring,,support@chirospring.com,https://www.chirospring.com,,Practice Management Software,,
ACOM Health,,info@acomhealth.com,https://acomhealth.com,,Practice Management Software,,
ChiroUp,,info@chiroup.com,https://chiroup.com,,Evidence-Based Chiropractic Software,,
zHealth EHR,,info@zhealthehr.com,https://www.zhealthehr.com,,Chiropractic EHR,,
Jane App,,support@jane.app,https://jane.app,,Cloud-Based EHR & Scheduling,,
Genesis / ClinicMind,,info@clinicmind.com,https://clinicmind.com,,Practice Management & RCM,,
Tebra,,info@tebra.com,https://www.tebra.com,,Practice Management Platform,,
DrChrono,,info@drchrono.com,https://www.drchrono.com,,Mobile EHR System,,
Atlas ChiroSys,,info@atlaschirosys.com,https://www.atlaschirosys.com,,Chiropractic CRM & Billing,,
PrognoCIS,,info@prognocis.com,https://prognocis.com,,Chiropractic EHR & AI,,
Platinum System,,info@platinumsystem.com,https://www.platinumsystem.com,,Chiropractic Practice Software,,
CollaborateMD,,info@collaboratemd.com,https://www.collaboratemd.com,,Medical Billing Software,,
Standard Process,,,,https://www.standardprocess.com,,Whole Food Supplements,Palmyra
Nutri-West,,,,https://www.nutriwest.com,,Chiropractic Supplements,
NeuroScience Inc,,,,https://www.neuroscienceinc.com,,Neurological Support Supplements,
Metagenics,,,,https://www.metagenics.com,,Professional-Grade Supplements,
Douglas Laboratories,,,,https://www.douglaslabs.com,,Professional Supplements,
MeyerDC,,info@meyerdc.com,https://www.meyerdc.com,,Supplement & Supply Distributor,,
Chiropractors Blend,,info@chiropractorsblenddirect.com,https://www.chiropractorsblenddirect.com,,Natural Nutrition Supplements,,
ScripHessco,,info@scriphessco.com,https://www.scriphessco.com,,Chiropractic Supplies Distributor,,
Hill Laboratories,,info@hilllabs.com,https://hilllabs.com,,Chiropractic Tables (since 1945),,
Lloyd Table Company,,info@lloydtable.com,https://www.lloydtable.com,,Premium Adjusting Tables,,
Leander Health Technologies,,info@leander-tables.com,https://www.leander-tables.com,,Motorized CPM Tables,,
Eurotech Tables,,info@eurotechusa.com,https://www.eurotechusa.com,,Chiropractic Tables,,
PHS Chiropractic,,info@phschiropractic.com,https://www.phsmedicalsolutions.com,,Customizable Chiropractic Tables,,
DOC Decompression Table,,info@docdecompressiontable.com,https://www.docdecompressiontable.com,,Spinal Decompression Tables,,
Erchonia,,info@erchonia.com,https://www.erchonia.com,,Low-Level Laser Therapy,Melbourne,FL
Multi Radiance Medical,,info@multiradiance.com,https://www.multiradiance.com,,Super Pulsed Laser Therapy,,
Summus Medical Laser,,info@summuslaser.com,https://www.summuslaser.com,615-595-7749,Class IV Laser Therapy,,
